camp_id,supply_category_id,current_population,pagasa_signal,units_consumed
7,2,2209,3,1256
5,1,4295,5,23417
6,3,3669,1,662
15,2,1711,2,972
2,1,4280,2,18213
12,2,4139,4,2907
10,3,4308,1,768
9,1,2183,2,9334
15,2,3208,3,1845
15,1,3095,4,14049
11,2,3079,3,1764
1,2,922,3,517
4,3,3142,2,632
4,2,2428,5,1622
14,1,2489,2,10095
14,1,4491,3,18986
15,1,537,1,1760
7,3,789,5,193
8,3,3321,3,763
13,2,2817,3,1480
13,1,2356,5,11567
3,1,3347,4,16015
6,1,2631,4,11505
13,2,4194,5,2927
15,3,386,2,73
15,1,529,2,2226
5,2,2281,2,1241
14,1,1786,1,5597
13,2,691,4,413
10,3,3627,3,744
10,2,2467,2,1284
3,3,578,3,125
9,1,641,5,3647
10,2,2689,5,1920
3,2,503,2,237
15,3,1577,4,387
5,1,4070,3,18152
10,1,1342,5,7582
3,3,1515,1,282
3,1,3113,2,12032
13,1,4094,5,23328
15,1,561,5,3116
7,1,390,3,1761
13,1,757,4,3455
8,3,1396,2,274
8,2,2904,3,1809
7,3,745,5,212
9,2,4374,4,2983
6,1,1263,5,6933
13,2,1974,3,1127
14,3,1130,2,217
12,3,685,4,174
6,1,3315,1,11640
11,2,4315,5,2920
1,1,1892,5,10623
12,2,3814,2,2043
4,2,3117,5,2291
10,2,3204,1,1409
4,1,4192,5,20407
15,1,3562,4,16291
4,2,1859,5,1410
8,2,3165,1,1590
7,1,358,3,1432
3,2,2430,2,1243
11,1,2077,5,10071
12,2,3118,4,1813
15,1,2071,1,7653
15,1,1873,2,7087
7,2,3158,2,1690
6,1,1698,1,6201
14,3,1944,4,436
10,1,923,2,3692
6,2,969,2,541
5,2,4469,4,2602
6,1,4080,4,20311
5,1,1977,1,7026
15,3,3765,5,1037
13,2,594,5,391
9,1,2839,1,9422
7,3,2974,2,617
6,1,2292,2,9292
13,3,3020,3,622
1,3,3888,4,862
1,1,1252,4,6587
1,3,575,1,90
7,3,321,5,86
5,3,1793,1,294
7,3,441,5,124
15,1,385,5,2058
11,3,2588,1,465
3,2,3642,4,2181
2,3,3620,2,738
8,3,3024,3,661
14,1,3041,5,14688
8,3,3265,1,534
15,1,862,1,3002
1,2,1487,1,690
6,2,520,5,329
9,3,3687,4,925
7,3,327,5,84
14,3,2382,5,599
9,3,4120,4,997
4,1,2916,5,15523
9,3,1169,5,325
3,1,1981,4,10161
12,1,3120,5,16358
12,2,1350,5,984
8,3,1210,5,337
9,3,1372,2,246
2,1,1609,2,6500
1,2,2486,5,1822
8,1,1947,2,7524
11,1,1887,2,8093
4,3,2414,2,494
2,1,3327,3,14561
13,2,3764,4,2497
13,2,2265,5,1717
6,2,3681,4,2205
15,2,1553,2,885
6,1,2799,5,15862
9,1,2039,2,8413
11,1,1658,5,9189
5,2,1771,4,1204
6,2,1271,4,775
8,2,3051,2,1692
5,3,1220,3,288
11,2,3289,5,2248
9,1,940,2,3941
10,3,2375,2,476
3,3,2705,4,698
7,1,2716,2,10321
5,2,461,5,328
10,1,1229,3,5246
11,2,870,5,589
9,1,1514,4,7557
7,2,3556,1,1616
12,1,1353,4,5986
9,2,1674,2,856
9,2,582,2,316
1,1,1180,5,5613
8,3,1549,3,314
4,2,1683,2,953
2,1,318,3,1337
12,2,1084,4,650
8,3,4388,4,977
2,3,3555,5,924
14,1,2968,4,14813
1,3,2410,3,543
8,3,2652,1,452
1,3,3834,5,1022
